# code;name;emoji
BRAZIL;Brasil;🇧🇷
ARGENTINA;Argentina;🇦🇷
JAPAN;Japão;🇯🇵
ITALY;Itália;🇮🇹
CANADA;Canadá;🇨🇦
PORTUGAL;Portugal;🇵🇹
SPAIN;Espanha;🇪🇸
FRANCE;França;🇫🇷
GERMANY;Alemanha;🇩🇪
MEXICO;México;🇲🇽
URUGUAY;Uruguai;🇺🇾
CHILE;Chile;🇨🇱
UNITED_STATES;Estados Unidos;🇺🇸
UNITED_KINGDOM;Reino Unido;🇬🇧
AUSTRALIA;Austrália;🇦🇺
NEW_ZEALAND;Nova Zelândia;🇳🇿
IRELAND;Irlanda;🇮🇪
NETHERLANDS;Holanda;🇳🇱
BELGIUM;Bélgica;🇧🇪
SWITZERLAND;Suíça;🇨🇭
AUSTRIA;Áustria;🇦🇹
DENMARK;Dinamarca;🇩🇰
SWEDEN;Suécia;🇸🇪
NORWAY;Noruega;🇳🇴
FINLAND;Finlândia;🇫🇮
POLAND;Polônia;🇵🇱
GREECE;Grécia;🇬🇷
TURKEY;Turquia;🇹🇷
SOUTH_KOREA;Coreia do Sul;🇰🇷
CHINA;China;🇨🇳
INDIA;Índia;🇮🇳
SOUTH_AFRICA;África do Sul;🇿🇦
PERU;Peru;🇵🇪
COLOMBIA;Colômbia;🇨🇴
ECUADOR;Equador;🇪🇨
PARAGUAY;Paraguai;🇵🇾
BOLIVIA;Bolívia;🇧🇴
COSTA_RICA;Costa Rica;🇨🇷
PANAMA;Panamá;🇵🇦
DOMINICAN_REPUBLIC;República Dominicana;🇩🇴
